VIN,Year,make-id,model-id,lat,lng,accuracy,dealership-id,log_entry_dt,last_scan_dt
WP0AB2A91LS229268,2020,49,717,33.015493,-96.826392,3,429,"2020-05-20 18:27:41","2020-05-20 18:27:40"
WP0AA2A9XLS205697,2020,49,717,33.015475,-96.826405,3,429,"2020-05-20 18:27:35","2020-05-20 18:27:34"
WP0AA2A96LS205146,2020,49,717,33.015461,-96.826403,3,429,"2020-05-20 18:27:29","2020-05-20 18:27:29"
WP0AA2A95LS205218,2020,49,717,33.015433,-96.826388,3,429,"2020-05-20 18:27:23","2020-05-20 18:27:23"
WP0AB2A98LS228845,2020,49,717,33.015415,-96.826387,3,429,"2020-05-20 18:27:17","2020-05-20 18:27:16"
WP0CA2A86KS210913,2019,49,720,33.015362,-96.826371,3,429,"2020-05-20 18:27:09","2020-05-20 18:27:08"
WP0CB2A82KS228273,2019,49,720,33.015347,-96.826361,3,429,"2020-05-20 18:27:02","2020-05-20 18:27:02"
WP1AA2A50LLB07641,2020,49,719,33.015303,-96.826367,3,429,"2020-05-20 18:26:49","2020-05-20 18:26:48"
WP1AA2A5XLLB04794,2020,49,719,33.015260,-96.826346,3,429,"2020-05-20 18:26:42","2020-05-20 18:26:41"
WP1AA2A5XLLB05783,2020,49,719,33.015252,-96.826341,3,429,"2020-05-20 18:26:34","2020-05-20 18:26:34"
WP1AA2A58LLB08701,2020,49,719,33.015229,-96.826352,3,429,"2020-05-20 18:26:28","2020-05-20 18:26:27"
WP1AA2A52LLB07415,2020,49,719,33.015197,-96.826363,3,429,"2020-05-20 18:26:22","2020-05-20 18:26:21"
WP1AA2A59LLB07945,2020,49,719,33.015175,-96.826360,3,429,"2020-05-20 18:26:15","2020-05-20 18:26:15"
WP1AA2A51LLB08670,2020,49,719,33.015154,-96.826367,3,429,"2020-05-20 18:26:09","2020-05-20 18:26:08"
WP1AA2A54LLB04855,2020,49,719,33.015125,-96.826364,3,429,"2020-05-20 18:26:03","2020-05-20 18:26:02"
WP1AB2A51LLB35767,2020,49,719,33.015096,-96.826348,3,429,"2020-05-20 18:25:56","2020-05-20 18:25:56"
WP1AA2A56LLB07725,2020,49,719,33.015070,-96.826347,3,429,"2020-05-20 18:25:50","2020-05-20 18:25:50"
